ID,Year,Player,Pos,Height,Experience,Weight,BMI,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,AST/TOV,STL/TOV,TOV,PF,PTS
23334,2015,A.J. Price,PG,185,5,81.45,23.79839299,28,TOT,26,0,324,12,0.451,0.416,0.175,2.1,8.9,5.6,23.5,1.1,0,8.7,22.5,,0,0.2,0.3,0.041,,-0.7,-3.1,-3.7,-0.1,51,137,0.372,15,57,0.263,36,80,0.45,0.427,16,24,0.667,6,26,32,46,7,0,3.29,0.5,14,15,133
22939,2015,Aaron Brooks,PG,180,6,72.45,22.36111111,30,CHI,82,21,1885,14.4,0.534,0.383,0.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25,,1.7,1.5,3.3,0.083,,1,-2.4,-1.4,0.3,344,817,0.421,121,313,0.387,223,504,0.442,0.495,145,174,0.833,32,134,166,261,54,15,1.66,0.34,157,189,954
23085,2015,Aaron Gordon,PF,202.5,R,99,24.14266118,19,ORL,47,8,797,11.4,0.517,0.231,0.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,,0.3,0.7,1,0.06,,-2.8,0,-2.8,-0.2,93,208,0.447,13,48,0.271,80,160,0.5,0.478,44,61,0.721,46,123,169,33,21,22,0.87,0.55,38,83,243
23313,2015,Adreian Payne,PF,205,R,106.65,25.37775134,23,TOT,32,22,739,7.7,0.443,0.041,0.209,7.2,18.2,12.5,6.4,1.3,1,15.5,17,,-0.7,0.2,-0.5,-0.033,,-4.6,-1.3,-5.9,-0.7,91,220,0.414,1,9,0.111,90,211,0.427,0.416,30,46,0.652,48,114,162,30,19,9,0.68,0.43,44,88,213
23139,2015,Al Horford,C,200,2,94.5,23.625,28,ATL,76,76,2318,21.4,0.563,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,,5.1,3.6,8.7,0.179,,1.3,2.5,3.8,3.4,519,965,0.538,11,36,0.306,508,929,0.547,0.544,107,141,0.759,131,413,544,244,68,98,1.63,0.86,100,121,1156
23155,2015,Al Jefferson,C,205,10,130.05,30.94586556,30,CHO,65,61,1992,19.7,0.5,0.005,0.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,,1.3,3.4,4.7,0.113,,-1.3,1.6,0.2,1.1,486,1010,0.481,2,5,0.4,484,1005,0.482,0.482,108,165,0.655,99,449,548,113,47,84,1.66,0.69,68,139,1082
22883,2015,Alan Anderson,SG,195,5,99,26.03550296,32,BRK,74,19,1744,10.6,0.563,0.477,0.23,2,11.1,6.6,7.2,1.7,0.2,11,14.2,,1.7,1.1,2.7,0.075,,0,-0.5,-0.5,0.6,195,440,0.443,73,210,0.348,122,230,0.53,0.526,82,101,0.812,31,173,204,83,56,5,1.38,0.93,60,148,545
22950,2015,Alec Burks,SG,195,3,96.3,25.32544379,23,UTA,27,27,899,13,0.524,0.227,0.43,2.5,12.1,7.3,15.2,1,0.4,12.7,20.8,,1.1,0.6,1.7,0.089,,-0.4,-1.1,-1.6,0.1,121,300,0.403,26,68,0.382,95,232,0.409,0.447,106,129,0.822,19,95,114,82,17,5,1.58,0.33,52,64,374
23192,2015,Alex Kirk,C,210,R,110.25,25,23,CLE,5,0,14,8.5,0.41,0,0.5,8.3,0,4.1,10.1,0,0,0,15.7,,0,0,0,0.061,,-3,-4.3,-7.4,0,1,4,0.25,0,0,,1,4,0.25,0.25,2,2,1,1,0,1,1,0,0,0,0,0,1,4
23211,2015,Alex Len,C,212.5,1,117,25.9100346,21,PHO,69,44,1518,13.5,0.542,0.008,0.295,10.2,22.7,16.4,3.1,1.1,5.3,15.7,13.7,,1.2,2.1,3.4,0.107,,-3.3,2.3,-1,0.4,179,353,0.507,1,3,0.333,178,350,0.509,0.508,73,104,0.702,142,312,454,32,34,105,0.43,0.46,74,213,432
